row,k,dst_lane,dst_reg,dst_byte,src_lane,src_reg,src_byte
0,0,0,0,0,63,7,3
0,1,0,0,1,59,0,1
0,2,0,0,2,59,0,2
0,3,0,0,3,59,0,3
0,4,0,1,0,48,2,0
0,5,0,1,1,48,2,1
0,6,0,1,2,48,2,2
0,7,0,1,3,48,2,3
0,8,0,2,0,63,1,0
0,9,0,2,1,63,1,1
0,10,0,2,2,63,1,2
0,11,0,2,3,63,1,3
0,12,0,3,0,63,3,0
0,13,0,3,1,63,3,1
0,14,0,3,2,63,3,2
0,15,0,3,3,63,3,3
0,16,0,4,0,27,4,0
0,17,0,4,1,27,4,1
0,18,0,4,2,27,4,2
0,19,0,4,3,27,4,3
0,20,0,5,0,48,6,0
0,21,0,5,1,48,6,1
0,22,0,5,2,48,6,2
0,23,0,5,3,48,6,3
0,24,0,6,0,-1,-1,-1
0,25,0,6,1,-1,-1,-1
0,26,0,6,2,-1,-1,-1
0,27,0,6,3,-1,-1,-1
0,28,0,7,0,-1,-1,-1
0,29,0,7,1,-1,-1,-1
0,30,0,7,2,-1,-1,-1
0,31,0,7,3,-1,-1,-1
1,0,1,0,0,49,3,3
1,1,1,0,1,-1,-1,-1
1,2,1,0,2,-1,-1,-1
1,3,1,0,3,-1,-1,-1
1,4,1,1,0,49,2,0
1,5,1,1,1,49,2,1
1,6,1,1,2,49,2,2
1,7,1,1,3,49,2,3
1,8,1,2,0,49,7,0
1,9,1,2,1,49,7,1
1,10,1,2,2,49,7,2
1,11,1,2,3,49,7,3
1,12,1,3,0,-1,-1,-1
1,13,1,3,1,-1,-1,-1
1,14,1,3,2,-1,-1,-1
1,15,1,3,3,-1,-1,-1
1,16,1,4,0,-1,-1,-1
1,17,1,4,1,-1,-1,-1
1,18,1,4,2,-1,-1,-1
1,19,1,4,3,-1,-1,-1
1,20,1,5,0,49,6,0
1,21,1,5,1,49,6,1
1,22,1,5,2,49,6,2
1,23,1,5,3,49,6,3
1,24,1,6,0,-1,-1,-1
1,25,1,6,1,-1,-1,-1
1,26,1,6,2,-1,-1,-1
1,27,1,6,3,-1,-1,-1
1,28,1,7,0,-1,-1,-1
1,29,1,7,1,-1,-1,-1
1,30,1,7,2,-1,-1,-1
1,31,1,7,3,-1,-1,-1
2,0,2,0,0,50,3,3
2,1,2,0,1,-1,-1,-1
2,2,2,0,2,-1,-1,-1
2,3,2,0,3,-1,-1,-1
2,4,2,1,0,50,2,0
2,5,2,1,1,50,2,1
2,6,2,1,2,50,2,2
2,7,2,1,3,50,2,3
2,8,2,2,0,50,7,0
2,9,2,2,1,50,7,1
2,10,2,2,2,50,7,2
2,11,2,2,3,50,7,3
2,12,2,3,0,-1,-1,-1
2,13,2,3,1,-1,-1,-1
2,14,2,3,2,-1,-1,-1
2,15,2,3,3,-1,-1,-1
2,16,2,4,0,-1,-1,-1
2,17,2,4,1,-1,-1,-1
2,18,2,4,2,-1,-1,-1
2,19,2,4,3,-1,-1,-1
2,20,2,5,0,50,6,0
2,21,2,5,1,50,6,1
2,22,2,5,2,50,6,2
2,23,2,5,3,50,6,3
2,24,2,6,0,-1,-1,-1
2,25,2,6,1,-1,-1,-1
2,26,2,6,2,-1,-1,-1
2,27,2,6,3,-1,-1,-1
2,28,2,7,0,-1,-1,-1
2,29,2,7,1,-1,-1,-1
2,30,2,7,2,-1,-1,-1
2,31,2,7,3,-1,-1,-1
3,0,3,0,0,51,3,3
3,1,3,0,1,-1,-1,-1
3,2,3,0,2,-1,-1,-1
3,3,3,0,3,-1,-1,-1
3,4,3,1,0,51,2,0
3,5,3,1,1,51,2,1
3,6,3,1,2,51,2,2
3,7,3,1,3,51,2,3
3,8,3,2,0,51,7,0
3,9,3,2,1,51,7,1
3,10,3,2,2,51,7,2
3,11,3,2,3,51,7,3
3,12,3,3,0,-1,-1,-1
3,13,3,3,1,-1,-1,-1
3,14,3,3,2,-1,-1,-1
3,15,3,3,3,-1,-1,-1
3,16,3,4,0,-1,-1,-1
3,17,3,4,1,-1,-1,-1
3,18,3,4,2,-1,-1,-1
3,19,3,4,3,-1,-1,-1
3,20,3,5,0,51,6,0
3,21,3,5,1,51,6,1
3,22,3,5,2,51,6,2
3,23,3,5,3,51,6,3
3,24,3,6,0,-1,-1,-1
3,25,3,6,1,-1,-1,-1
3,26,3,6,2,-1,-1,-1
3,27,3,6,3,-1,-1,-1
3,28,3,7,0,-1,-1,-1
3,29,3,7,1,-1,-1,-1
3,30,3,7,2,-1,-1,-1
3,31,3,7,3,-1,-1,-1
4,0,4,0,0,-1,-1,-1
4,1,4,0,1,-1,-1,-1
4,2,4,0,2,-1,-1,-1
4,3,4,0,3,-1,-1,-1
4,4,4,1,0,-1,-1,-1
4,5,4,1,1,-1,-1,-1
4,6,4,1,2,-1,-1,-1
4,7,4,1,3,-1,-1,-1
4,8,4,2,0,-1,-1,-1
4,9,4,2,1,-1,-1,-1
4,10,4,2,2,-1,-1,-1
4,11,4,2,3,-1,-1,-1
4,12,4,3,0,-1,-1,-1
4,13,4,3,1,-1,-1,-1
4,14,4,3,2,-1,-1,-1
4,15,4,3,3,-1,-1,-1
4,16,4,4,0,-1,-1,-1
4,17,4,4,1,-1,-1,-1
4,18,4,4,2,-1,-1,-1
4,19,4,4,3,-1,-1,-1
4,20,4,5,0,-1,-1,-1
4,21,4,5,1,-1,-1,-1
4,22,4,5,2,-1,-1,-1
4,23,4,5,3,-1,-1,-1
4,24,4,6,0,-1,-1,-1
4,25,4,6,1,-1,-1,-1
4,26,4,6,2,-1,-1,-1
4,27,4,6,3,-1,-1,-1
4,28,4,7,0,-1,-1,-1
4,29,4,7,1,-1,-1,-1
4,30,4,7,2,-1,-1,-1
4,31,4,7,3,-1,-1,-1
5,0,5,0,0,-1,-1,-1
5,1,5,0,1,-1,-1,-1
5,2,5,0,2,-1,-1,-1
5,3,5,0,3,-1,-1,-1
5,4,5,1,0,-1,-1,-1
5,5,5,1,1,-1,-1,-1
5,6,5,1,2,-1,-1,-1
5,7,5,1,3,-1,-1,-1
5,8,5,2,0,-1,-1,-1
5,9,5,2,1,-1,-1,-1
5,10,5,2,2,-1,-1,-1
5,11,5,2,3,-1,-1,-1
5,12,5,3,0,-1,-1,-1
5,13,5,3,1,-1,-1,-1
5,14,5,3,2,-1,-1,-1
5,15,5,3,3,-1,-1,-1
5,16,5,4,0,-1,-1,-1
5,17,5,4,1,-1,-1,-1
5,18,5,4,2,-1,-1,-1
5,19,5,4,3,-1,-1,-1
5,20,5,5,0,-1,-1,-1
5,21,5,5,1,-1,-1,-1
5,22,5,5,2,-1,-1,-1
5,23,5,5,3,-1,-1,-1
5,24,5,6,0,-1,-1,-1
5,25,5,6,1,-1,-1,-1
5,26,5,6,2,-1,-1,-1
5,27,5,6,3,-1,-1,-1
5,28,5,7,0,-1,-1,-1
5,29,5,7,1,-1,-1,-1
5,30,5,7,2,-1,-1,-1
5,31,5,7,3,-1,-1,-1
6,0,6,0,0,-1,-1,-1
6,1,6,0,1,-1,-1,-1
6,2,6,0,2,-1,-1,-1
6,3,6,0,3,-1,-1,-1
6,4,6,1,0,-1,-1,-1
6,5,6,1,1,-1,-1,-1
6,6,6,1,2,-1,-1,-1
6,7,6,1,3,-1,-1,-1
6,8,6,2,0,-1,-1,-1
6,9,6,2,1,-1,-1,-1
6,10,6,2,2,-1,-1,-1
6,11,6,2,3,-1,-1,-1
6,12,6,3,0,-1,-1,-1
6,13,6,3,1,-1,-1,-1
6,14,6,3,2,-1,-1,-1
6,15,6,3,3,-1,-1,-1
6,16,6,4,0,-1,-1,-1
6,17,6,4,1,-1,-1,-1
6,18,6,4,2,-1,-1,-1
6,19,6,4,3,-1,-1,-1
6,20,6,5,0,-1,-1,-1
6,21,6,5,1,-1,-1,-1
6,22,6,5,2,-1,-1,-1
6,23,6,5,3,-1,-1,-1
6,24,6,6,0,-1,-1,-1
6,25,6,6,1,-1,-1,-1
6,26,6,6,2,-1,-1,-1
6,27,6,6,3,-1,-1,-1
6,28,6,7,0,-1,-1,-1
6,29,6,7,1,-1,-1,-1
6,30,6,7,2,-1,-1,-1
6,31,6,7,3,-1,-1,-1
7,0,7,0,0,-1,-1,-1
7,1,7,0,1,-1,-1,-1
7,2,7,0,2,-1,-1,-1
7,3,7,0,3,-1,-1,-1
7,4,7,1,0,-1,-1,-1
7,5,7,1,1,-1,-1,-1
7,6,7,1,2,-1,-1,-1
7,7,7,1,3,-1,-1,-1
7,8,7,2,0,-1,-1,-1
7,9,7,2,1,-1,-1,-1
7,10,7,2,2,-1,-1,-1
7,11,7,2,3,-1,-1,-1
7,12,7,3,0,-1,-1,-1
7,13,7,3,1,-1,-1,-1
7,14,7,3,2,-1,-1,-1
7,15,7,3,3,-1,-1,-1
7,16,7,4,0,-1,-1,-1
7,17,7,4,1,-1,-1,-1
7,18,7,4,2,-1,-1,-1
7,19,7,4,3,-1,-1,-1
7,20,7,5,0,-1,-1,-1
7,21,7,5,1,-1,-1,-1
7,22,7,5,2,-1,-1,-1
7,23,7,5,3,-1,-1,-1
7,24,7,6,0,-1,-1,-1
7,25,7,6,1,-1,-1,-1
7,26,7,6,2,-1,-1,-1
7,27,7,6,3,-1,-1,-1
7,28,7,7,0,-1,-1,-1
7,29,7,7,1,-1,-1,-1
7,30,7,7,2,-1,-1,-1
7,31,7,7,3,-1,-1,-1
8,0,8,0,0,56,3,3
8,1,8,0,1,-1,-1,-1
8,2,8,0,2,-1,-1,-1
8,3,8,0,3,-1,-1,-1
8,4,8,1,0,56,2,0
8,5,8,1,1,56,2,1
8,6,8,1,2,56,2,2
8,7,8,1,3,56,2,3
8,8,8,2,0,56,7,0
8,9,8,2,1,56,7,1
8,10,8,2,2,56,7,2
8,11,8,2,3,56,7,3
8,12,8,3,0,-1,-1,-1
8,13,8,3,1,-1,-1,-1
8,14,8,3,2,-1,-1,-1
8,15,8,3,3,-1,-1,-1
8,16,8,4,0,-1,-1,-1
8,17,8,4,1,-1,-1,-1
8,18,8,4,2,-1,-1,-1
8,19,8,4,3,-1,-1,-1
8,20,8,5,0,56,6,0
8,21,8,5,1,56,6,1
8,22,8,5,2,56,6,2
8,23,8,5,3,56,6,3
8,24,8,6,0,-1,-1,-1
8,25,8,6,1,-1,-1,-1
8,26,8,6,2,-1,-1,-1
8,27,8,6,3,-1,-1,-1
8,28,8,7,0,-1,-1,-1
8,29,8,7,1,-1,-1,-1
8,30,8,7,2,-1,-1,-1
8,31,8,7,3,-1,-1,-1
9,0,9,0,0,57,3,3
9,1,9,0,1,-1,-1,-1
9,2,9,0,2,-1,-1,-1
9,3,9,0,3,-1,-1,-1
9,4,9,1,0,57,2,0
9,5,9,1,1,57,2,1
9,6,9,1,2,57,2,2
9,7,9,1,3,57,2,3
9,8,9,2,0,57,7,0
9,9,9,2,1,57,7,1
9,10,9,2,2,57,7,2
9,11,9,2,3,57,7,3
9,12,9,3,0,-1,-1,-1
9,13,9,3,1,-1,-1,-1
9,14,9,3,2,-1,-1,-1
9,15,9,3,3,-1,-1,-1
9,16,9,4,0,-1,-1,-1
9,17,9,4,1,-1,-1,-1
9,18,9,4,2,-1,-1,-1
9,19,9,4,3,-1,-1,-1
9,20,9,5,0,57,6,0
9,21,9,5,1,57,6,1
9,22,9,5,2,57,6,2
9,23,9,5,3,57,6,3
9,24,9,6,0,-1,-1,-1
9,25,9,6,1,-1,-1,-1
9,26,9,6,2,-1,-1,-1
9,27,9,6,3,-1,-1,-1
9,28,9,7,0,-1,-1,-1
9,29,9,7,1,-1,-1,-1
9,30,9,7,2,-1,-1,-1
9,31,9,7,3,-1,-1,-1
10,0,10,0,0,58,3,3
10,1,10,0,1,-1,-1,-1
10,2,10,0,2,-1,-1,-1
10,3,10,0,3,-1,-1,-1
10,4,10,1,0,58,2,0
10,5,10,1,1,58,2,1
10,6,10,1,2,58,2,2
10,7,10,1,3,58,2,3
10,8,10,2,0,58,7,0
10,9,10,2,1,58,7,1
10,10,10,2,2,58,7,2
10,11,10,2,3,58,7,3
10,12,10,3,0,-1,-1,-1
10,13,10,3,1,-1,-1,-1
10,14,10,3,2,-1,-1,-1
10,15,10,3,3,-1,-1,-1
10,16,10,4,0,-1,-1,-1
10,17,10,4,1,-1,-1,-1
10,18,10,4,2,-1,-1,-1
10,19,10,4,3,-1,-1,-1
10,20,10,5,0,58,6,0
10,21,10,5,1,58,6,1
10,22,10,5,2,58,6,2
10,23,10,5,3,58,6,3
10,24,10,6,0,-1,-1,-1
10,25,10,6,1,-1,-1,-1
10,26,10,6,2,-1,-1,-1
10,27,10,6,3,-1,-1,-1
10,28,10,7,0,-1,-1,-1
10,29,10,7,1,-1,-1,-1
10,30,10,7,2,-1,-1,-1
10,31,10,7,3,-1,-1,-1
11,0,11,0,0,59,3,3
11,1,11,0,1,-1,-1,-1
11,2,11,0,2,-1,-1,-1
11,3,11,0,3,-1,-1,-1
11,4,11,1,0,59,2,0
11,5,11,1,1,59,2,1
11,6,11,1,2,59,2,2
11,7,11,1,3,59,2,3
11,8,11,2,0,59,7,0
11,9,11,2,1,59,7,1
11,10,11,2,2,59,7,2
11,11,11,2,3,59,7,3
11,12,11,3,0,-1,-1,-1
11,13,11,3,1,-1,-1,-1
11,14,11,3,2,-1,-1,-1
11,15,11,3,3,-1,-1,-1
11,16,11,4,0,-1,-1,-1
11,17,11,4,1,-1,-1,-1
11,18,11,4,2,-1,-1,-1
11,19,11,4,3,-1,-1,-1
11,20,11,5,0,59,6,0
11,21,11,5,1,59,6,1
11,22,11,5,2,59,6,2
11,23,11,5,3,59,6,3
11,24,11,6,0,-1,-1,-1
11,25,11,6,1,-1,-1,-1
11,26,11,6,2,-1,-1,-1
11,27,11,6,3,-1,-1,-1
11,28,11,7,0,-1,-1,-1
11,29,11,7,1,-1,-1,-1
11,30,11,7,2,-1,-1,-1
11,31,11,7,3,-1,-1,-1
12,0,12,0,0,-1,-1,-1
12,1,12,0,1,-1,-1,-1
12,2,12,0,2,-1,-1,-1
12,3,12,0,3,-1,-1,-1
12,4,12,1,0,-1,-1,-1
12,5,12,1,1,-1,-1,-1
12,6,12,1,2,-1,-1,-1
12,7,12,1,3,-1,-1,-1
12,8,12,2,0,-1,-1,-1
12,9,12,2,1,-1,-1,-1
12,10,12,2,2,-1,-1,-1
12,11,12,2,3,-1,-1,-1
12,12,12,3,0,-1,-1,-1
12,13,12,3,1,-1,-1,-1
12,14,12,3,2,-1,-1,-1
12,15,12,3,3,-1,-1,-1
12,16,12,4,0,-1,-1,-1
12,17,12,4,1,-1,-1,-1
12,18,12,4,2,-1,-1,-1
12,19,12,4,3,-1,-1,-1
12,20,12,5,0,-1,-1,-1
12,21,12,5,1,-1,-1,-1
12,22,12,5,2,-1,-1,-1
12,23,12,5,3,-1,-1,-1
12,24,12,6,0,-1,-1,-1
12,25,12,6,1,-1,-1,-1
12,26,12,6,2,-1,-1,-1
12,27,12,6,3,-1,-1,-1
12,28,12,7,0,-1,-1,-1
12,29,12,7,1,-1,-1,-1
12,30,12,7,2,-1,-1,-1
12,31,12,7,3,-1,-1,-1
13,0,13,0,0,-1,-1,-1
13,1,13,0,1,-1,-1,-1
13,2,13,0,2,-1,-1,-1
13,3,13,0,3,-1,-1,-1
13,4,13,1,0,-1,-1,-1
13,5,13,1,1,-1,-1,-1
13,6,13,1,2,-1,-1,-1
13,7,13,1,3,-1,-1,-1
13,8,13,2,0,-1,-1,-1
13,9,13,2,1,-1,-1,-1
13,10,13,2,2,-1,-1,-1
13,11,13,2,3,-1,-1,-1
13,12,13,3,0,-1,-1,-1
13,13,13,3,1,-1,-1,-1
13,14,13,3,2,-1,-1,-1
13,15,13,3,3,-1,-1,-1
13,16,13,4,0,-1,-1,-1
13,17,13,4,1,-1,-1,-1
13,18,13,4,2,-1,-1,-1
13,19,13,4,3,-1,-1,-1
13,20,13,5,0,-1,-1,-1
13,21,13,5,1,-1,-1,-1
13,22,13,5,2,-1,-1,-1
13,23,13,5,3,-1,-1,-1
13,24,13,6,0,-1,-1,-1
13,25,13,6,1,-1,-1,-1
13,26,13,6,2,-1,-1,-1
13,27,13,6,3,-1,-1,-1
13,28,13,7,0,-1,-1,-1
13,29,13,7,1,-1,-1,-1
13,30,13,7,2,-1,-1,-1
13,31,13,7,3,-1,-1,-1
14,0,14,0,0,-1,-1,-1
14,1,14,0,1,-1,-1,-1
14,2,14,0,2,-1,-1,-1
14,3,14,0,3,-1,-1,-1
14,4,14,1,0,-1,-1,-1
14,5,14,1,1,-1,-1,-1
14,6,14,1,2,-1,-1,-1
14,7,14,1,3,-1,-1,-1
14,8,14,2,0,-1,-1,-1
14,9,14,2,1,-1,-1,-1
14,10,14,2,2,-1,-1,-1
14,11,14,2,3,-1,-1,-1
14,12,14,3,0,-1,-1,-1
14,13,14,3,1,-1,-1,-1
14,14,14,3,2,-1,-1,-1
14,15,14,3,3,-1,-1,-1
14,16,14,4,0,-1,-1,-1
14,17,14,4,1,-1,-1,-1
14,18,14,4,2,-1,-1,-1
14,19,14,4,3,-1,-1,-1
14,20,14,5,0,-1,-1,-1
14,21,14,5,1,-1,-1,-1
14,22,14,5,2,-1,-1,-1
14,23,14,5,3,-1,-1,-1
14,24,14,6,0,-1,-1,-1
14,25,14,6,1,-1,-1,-1
14,26,14,6,2,-1,-1,-1
14,27,14,6,3,-1,-1,-1
14,28,14,7,0,-1,-1,-1
14,29,14,7,1,-1,-1,-1
14,30,14,7,2,-1,-1,-1
14,31,14,7,3,-1,-1,-1
15,0,15,0,0,-1,-1,-1
15,1,15,0,1,-1,-1,-1
15,2,15,0,2,-1,-1,-1
15,3,15,0,3,-1,-1,-1
15,4,15,1,0,-1,-1,-1
15,5,15,1,1,-1,-1,-1
15,6,15,1,2,-1,-1,-1
15,7,15,1,3,-1,-1,-1
15,8,15,2,0,-1,-1,-1
15,9,15,2,1,-1,-1,-1
15,10,15,2,2,-1,-1,-1
15,11,15,2,3,-1,-1,-1
15,12,15,3,0,-1,-1,-1
15,13,15,3,1,-1,-1,-1
15,14,15,3,2,-1,-1,-1
15,15,15,3,3,-1,-1,-1
15,16,15,4,0,-1,-1,-1
15,17,15,4,1,-1,-1,-1
15,18,15,4,2,-1,-1,-1
15,19,15,4,3,-1,-1,-1
15,20,15,5,0,-1,-1,-1
15,21,15,5,1,-1,-1,-1
15,22,15,5,2,-1,-1,-1
15,23,15,5,3,-1,-1,-1
15,24,15,6,0,-1,-1,-1
15,25,15,6,1,-1,-1,-1
15,26,15,6,2,-1,-1,-1
15,27,15,6,3,-1,-1,-1
15,28,15,7,0,-1,-1,-1
15,29,15,7,1,-1,-1,-1
15,30,15,7,2,-1,-1,-1
15,31,15,7,3,-1,-1,-1
16,0,16,0,0,-1,-1,-1
16,1,16,0,1,-1,-1,-1
16,2,16,0,2,-1,-1,-1
16,3,16,0,3,-1,-1,-1
16,4,16,1,0,-1,-1,-1
16,5,16,1,1,-1,-1,-1
16,6,16,1,2,-1,-1,-1
16,7,16,1,3,-1,-1,-1
16,8,16,2,0,-1,-1,-1
16,9,16,2,1,-1,-1,-1
16,10,16,2,2,-1,-1,-1
16,11,16,2,3,-1,-1,-1
16,12,16,3,0,-1,-1,-1
16,13,16,3,1,-1,-1,-1
16,14,16,3,2,-1,-1,-1
16,15,16,3,3,-1,-1,-1
16,16,16,4,0,-1,-1,-1
16,17,16,4,1,-1,-1,-1
